DocType: User Card,Favorite Market,Bevorzugter Laden
DocType: User Card,Ingredients at Home,Zutaten Zuhause
DocType: User Card,These ingredients will not appear in your shopping lists.,Diese Zutaten werden nich auf deinen Einkaufslisten erscheinen.
DocType: User Card,Ingredients,Zutaten
DocType: User Card,Ingredient,Zutat
DocType: User Card,User Card,Benutzerkarte
